Address,Balance,Share
0xdf3d0f5d1a9d3fd0da57843704144c8eb6ad6ce7,3113165,0.03
0x1062a747393198f70f71ec65a582423dba7e5ab3,2970581.3135413104,0.03
0x2ff39afcc6189b19dc3776ed9119cb7ef532680f,2550000.4,0.03
0x1e695f0055c9c62b9ba43776b5f3fcb2744046a4,2464686.1637420002,0.02
0xda42aa53358c108b4af19e2646d43aa1b66314d4,2416502.88199999,0.02
0x304999a74e4455cb01047ef9ac40042c885dac6a,2396151.71196,0.02
0x4012448bebc96ff9d643181a80db4c28f8fe1d9a,2350679.523068031,0.02
0xabdb55d7c27e365531e3cf388d7d5d2851cbf214,2328418.33176,0.02
0xa5468bc6c5cd544fa0b2d7971abe2d93e27f0db4,2289290.8249999997,0.02
0x38c676542a3ee5bd6879ba9f0e1a3cd85b9312c8,2232933.1557584982,0.02
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,2139666.95471682,0.02
0x833078dcfa4bf4690b16d9845c51fbf34e8b4bb9,2199474.7934482177,0.02
0x0ad0044712d0f018eebcda8fe2c771cc4df8f704,2044974.3,0.02
0x23c8c783be9d09f876e64cee0fdb8aa1587d2cda,2289231.2770000002,0.02
0xb2f327564820911a15e5dd0d815a0dbe9b3aea7f,2018231,0.02
0x726399bd686af97d4aa7258d29f9b1695d723ec6,2017505.268,0.02
0xc0d2d6672a1bd8e0ae211fd7ceb8d239607474be,2000000,0.02
0xbfbb920b9c8dbf964ec8cc540b8df83378f8e63a,1985665.00611058,0.02
0x18e9ce9fccf0abea37e00be43167371265a7782a,2022400,0.02
0x545fbc059f59063a75439e922dd7f610d1cd5154,1964369.977,0.02
0x5915003f04687df706eebc3c316db85a71425f50,1899126.1710726547,0.02
0xfde4dca6d42afc9fef253f2729f465cd789c9034,1890034.3031469148,0.02
0x4e1cf04fda76a137b7ed3ab7a1abff369e3fed1c,1835799.9921174536,0.02
0x27a2bbca8bc3206e50dc352128da4bb2706eb27b,1889952,0.02
0x669cfbd063c434a5ee51adc78d2292a2d3fe88e0,1798832.2610000002,0.02
0x287e6d4dd4d57ede08b9353e13d51d9f7f1f95fa,1784704.1,0.02
0x0004cb979aaff2961e32a3f6953bfe3910e3274b,1782000,0.02
0x0c446fa7237fcf2f91ecdff54cf64afa23805c3e,1733828.2579561,0.02
0xc88ff380cf2630b7aaf6add1df091acb3d48d8c6,1685887.8368531202,0.02
0x2602299624fc42943eceb0f618872c5cb2e710a0,1680000,0.02
0xf9135910ed01cf75e5417581b223854f6285905b,1631261,0.02
0xd043ffcc306ac20308e7290894b1ecf03464c83d,1628254.133,0.02
0x581878ab7f1d44acc71810ff142953c986adee3a,1600031.509009,0.02
0xd4fa6dd0283688f480953da3bd13833a9b5fa022,1594240.17938,0.02
0x55b57dcb98f8d4e65bb602cc2815d411f517654d,1563086.1294,0.02
0x50d36b056fd4826293231fb94a107a483c0d8e90,1517906.5202,0.02
0xb3573865c897bcd3a497f4fa97315ca96f1426ed,1526875.3906,0.02
0x68cfb6efb660f37065a5aaa490d5ef62c2456b80,1512000,0.02
0x374231700614304bf805f9e856cf1b3cb76e4f8e,1510800,0.02
0x251a88f9208bf09ed96097000981e89e60170c57,1505162.025,0.02
0x74f65e5c08e39700ccc3c326141310acee347724,1489274.4,0.01
0x2b80782ba10417888518a75b54541b57dd601852,1428000,0.01
